type,area,site,feature1,feature2,price,ave_area
三居 ,97~135平米,红桥区,普通住宅,品牌地产,28000,116
二居/ 三居 ,80~143平米,河西区,普通住宅,品牌地产,35000,111.5
二居/ 三居 ,89~143平米,西青区,普通住宅,品牌地产,18000,116
三居/ 四居 ,105~175平米,河北区,普通住宅,品牌地产,60000,140
三居 ,87~129平米,河西区,普通住宅,地铁沿线,39000,108
三居 ,100~170平米,西青区,叠拼,花园洋房,22000,135
三居 ,106~173平米,东丽区,普通住宅,品牌地产,26000,139.5
三居/ 四居 ,93~143平米,河北区,普通住宅,地铁沿线,28000,118
三居 ,85~126平米,河西区,普通住宅,品牌地产,42000,105.5
三居 ,110~170平米,南开区,普通住宅,国际化社区,63000,140
二居/ 三居 ,82~130平米,津南区,普通住宅,品牌地产,19500,106
三居 ,89~130平米,津南区,洋房,低密居所,20000,109.5
二居/ 三居 ,89~167平米,津南区,普通住宅,低密居所,21000,128
三居/ 四居 ,143~189平米,南开区,普通住宅,央企开发,40000,166
三居/ 四居 ,89~160平米,津南区,普通住宅,品牌地产,15000,124.5
二居/ 三居 ,85~144平米,武清区,普通住宅,景观居所,22000,114.5
三居 ,98~143平米,西青区,普通住宅,低密居所,19950,120.5
三居/ 四居 ,106~237平米,河西区,普通住宅,低密居所,45000,171.5
三居 ,103~125平米,南开区,普通住宅,改善优选,58000,114
三居/ 四居 ,80~129平米,津南区,洋房,低密居所,20000,104.5
二居/ 三居/ 四居 ,160~310平米,西青区,普通住宅,品牌地产,37000,235
三居/ 四居 ,128~236平米,河西区,普通住宅,品牌地产,54000,182
二居/ 三居 ,89~135平米,南开区,普通住宅,品牌地产,38000,112
二居/ 三居 ,115~178平米,西青区,普通住宅,品牌地产,357,146.5
二居/ 三居 ,71~128平米,东丽区,普通住宅,地铁沿线,14500,99.5
三居/ 四居 ,79~143平米,,洋房,品牌地产,21000,111
三居 ,94~135平米,东丽区,普通住宅,品牌地产,23000,114.5
二居/ 三居/ 四居 ,89~185平米,津南区,欧式,品牌地产,7000,137
二居/ 三居 ,85~130平米,西青区,普通住宅,低密居所,21000,107.5
二居/ 三居 ,80~142平米,北辰区,普通住宅,地铁沿线,20000,111
三居/ 四居 ,88~300平米,南开区,洋房,花园洋房,57000,194
三居/ 四居 ,116~136平米,河北区,叠拼,低密居所,18800,126
二居/ 三居 ,80~110平米,西青区,普通住宅,品牌地产,17500,95
三居 ,89~130平米,西青区,普通住宅,景观居所,11000,109.5
三居/ 四居/ 五居 ,124~247平米,,洋房,低密居所,23000,185.5
二居/ 三居 ,143~210平米,津南区,叠拼,地铁沿线,370,176.5
一居/ 二居/ 四居 ,42平米,和平区,住宅型公寓,复合地产,100000,42
二居/ 三居 ,78~118平米,西青区,普通住宅,品牌地产,17500,98
三居/ 四居 ,104~169平米,河西区,普通住宅,国际化社区,38000,136.5
二居/ 三居 ,82~125平米,河西区,普通住宅,品牌地产,39000,103.5
三居 ,108~143平米,武清区,普通住宅,低密居所,17000,125.5
三居 ,114~128平米,西青区,叠拼,品牌地产,18600,121
三居/ 四居 ,171~180平米,南开区,普通住宅,品牌地产,68000,175.5
二居/ 三居/ 四居 ,83~183平米,北辰区,普通住宅,品牌地产,13000,133
二居/ 三居 ,85~125平米,武清区,普通住宅,,10000,105
二居/ 三居 ,76~115平米,西青区,普通住宅,低总价,14000,95.5
二居/ 三居 ,92~125平米,,普通住宅,国际化社区,20000,108.5
三居/ 四居/ 五居 ,310平米,河东区,普通住宅,品牌地产,1300,310
二居/ 三居/ 四居/ 五居 ,82~236平米,东丽区,联排,低密居所,12500,159
二居/ 三居/ 四居 ,79~160平米,武清区,英式,低总价,5500,119.5
二居/ 三居/ 四居/ 五居以上 ,76~180平米,静海区,联排,品牌地产,5500,128
三居/ 四居 ,108~149平米,,普通住宅,配套商品房,17000,128.5
三居/ 四居 ,99~140平米,北辰区,普通住宅,品牌地产,11900,119.5
二居/ 三居/ 四居 ,100~140平米,,普通住宅,品牌地产,18600,120
三居/ 四居 ,112~271平米,西青区,普通住宅,地铁沿线,25000,191.5
三居/ 四居/ 五居 ,96~148平米,津南区,叠拼,品牌地产,22000,122
二居/ 三居 ,126~140平米,西青区,普通住宅,品牌地产,33000,133
一居/ 二居/ 三居 ,81~122平米,河东区,普通住宅,品牌地产,26000,101.5
三居 ,100~140平米,,普通住宅,现房,20000,120
二居/ 三居 ,74~122平米,南开区,住宅型公寓,品牌地产,48000,98
三居 ,89~136平米,津南区,普通住宅,低密居所,24000,112.5
三居 ,124~149平米,南开区,普通住宅,品牌地产,45000,136.5
二居/ 三居 ,92~145平米,北辰区,普通住宅,品牌地产,15000,118.5
二居/ 五居/ 五居以上 ,92~309平米,东丽区,联排,经济住宅,8500,200.5
二居/ 三居 ,93~128平米,南开区,普通住宅,地铁沿线,33000,110.5
三居/ 四居 ,95~130平米,西青区,普通住宅,品牌地产,22400,112.5
二居/ 三居 ,70~140平米,津南区,普通住宅,品牌地产,12500,105
三居 ,89~115平米,东丽区,普通住宅,地铁沿线,23500,102
二居/ 三居/ 四居 ,82~147平米,武清区,普通住宅,品牌地产,18000,114.5
三居 ,103~132平米,武清区,普通住宅,品牌地产,13000,117.5
三居 ,90~115平米,宁河区,普通住宅,品牌地产,8500,102.5
二居/ 三居 ,86~97平米,宁河区,联排,低总价,7500,91.5
三居 ,89~176平米,北辰区,普通住宅,品牌地产,17000,132.5
三居 ,94~143平米,南开区,普通住宅,品牌地产,38500,118.5
二居/ 三居/ 四居 ,75~175平米,和平区,普通住宅,品牌地产,76000,125
三居/ 四居 ,89~127平米,河东区,普通住宅,品牌地产,29000,108
三居 ,100~165平米,南开区,普通住宅,品牌地产,42000,132.5
二居/ 三居/ 四居 ,75~125平米,河北区,普通住宅,,26000,100
三居/ 四居 ,89~165平米,河北区,普通住宅,,29000,127
三居 ,110~143平米,红桥区,洋房,花园洋房,37000,126.5
三居 ,98~143平米,河西区,普通住宅,品牌地产,34500,120.5
三居 ,89~137平米,,普通住宅,品牌地产,15000,113
二居/ 三居/ 四居 ,80~130平米,东丽区,普通住宅,地铁沿线,18000,105
三居 ,110~143平米,河东区,普通住宅,地铁沿线,37000,126.5
二居/ 三居 ,84~139平米,东丽区,普通住宅,品牌地产,18000,111.5
三居/ 四居 ,129~400平米,西青区,联排,品牌地产,850,264.5
三居/ 四居 ,89~145平米,武清区,普通住宅,品牌地产,12000,117
二居/ 三居 ,108~162平米,津南区,洋房,花园洋房,20000,135
二居/ 三居 ,77~126平米,红桥区,普通住宅,国际化社区,19500,101.5
三居 ,91~126平米,,普通住宅,花园洋房,13500,108.5
二居/ 三居 ,76~143平米,,普通住宅,国际化社区,21000,109.5
二居/ 三居 ,78~124平米,,洋房,地铁沿线,13000,101
三居 ,95~125平米,,普通住宅,品牌地产,22000,110
三居 ,89~128平米,河西区,普通住宅,地铁沿线,32000,108.5
三居 ,104~143平米,河西区,普通住宅,低密居所,43000,123.5
三居 ,109~131平米,,叠拼,低总价,19000,120
二居/ 三居 ,77~108平米,,普通住宅,低密居所,9400,92.5
二居/ 三居/ 四居 ,90~170平米,河东区,普通住宅,品牌地产,27000,130
四居 ,157~168平米,红桥区,普通住宅,品牌地产,25000,162.5
三居/ 四居 ,106~200平米,北辰区,普通住宅,装修交付,23000,153
二居/ 三居 ,99~127平米,河东区,普通住宅,品牌地产,23500,113
一居/ 二居/ 三居 ,51~149平米,河北区,普通住宅,品牌地产,24000,100
二居/ 三居/ 四居 ,94~179平米,,普通住宅,低密居所,21500,136.5
二居/ 三居 ,78~126平米,南开区,普通住宅,品牌地产,42000,102
二居/ 三居/ 四居 ,80~243平米,静海区,普通住宅,低密居所,13000,161.5
二居/ 三居/ 四居 ,75~126平米,东丽区,普通住宅,品牌地产,15000,100.5
二居/ 三居 ,84~143平米,河东区,普通住宅,地铁沿线,32500,113.5
二居/ 三居/ 四居 ,89~140平米,,洋房,不限购,17500,114.5
三居/ 四居 ,103~201平米,武清区,洋房,品牌地产,24000,152
三居 ,99~155平米,,普通住宅,地铁沿线,23000,127
二居/ 三居 ,74~142平米,东丽区,普通住宅,品牌地产,90,108
三居/ 四居 ,150~215平米,南开区,大平层,国际化社区,65000,182.5
三居 ,114~165平米,西青区,普通住宅,品牌地产,26000,139.5
三居/ 四居 ,150~240平米,,普通住宅,地铁沿线,32000,195
二居/ 三居 ,76~137平米,,普通住宅,品牌地产,16000,106.5
三居 ,135~175平米,西青区,洋房,花园洋房,34000,155
三居/ 四居 ,96~175平米,红桥区,普通住宅,品牌地产,45000,135.5
三居/ 四居 ,98~170平米,,普通住宅,地铁沿线,22000,134
三居 ,96~143平米,西青区,普通住宅,品牌地产,18000,119.5
三居 ,110~150平米,河东区,普通住宅,国企开发,38000,130
二居/ 三居 ,85~175平米,河东区,普通住宅,品牌地产,33500,130
二居/ 三居/ 四居/ 五居以上 ,136~420平米,,联排,低密居所,27000,278
二居/ 三居 ,79~143平米,西青区,普通住宅,低密居所,20200,111
二居/ 三居 ,80~132平米,津南区,普通住宅,品牌地产,14000,106
二居/ 三居/ 四居 ,78~119平米,,普通住宅,品牌地产,14000,98.5
二居/ 三居 ,80~135平米,,普通住宅,品牌地产,12500,107.5
三居/ 四居 ,89~133平米,河北区,普通住宅,品牌地产,29000,111
三居/ 四居 ,95~300平米,,叠拼,品牌地产,20500,197.5
二居/ 三居/ 四居 ,81~166平米,河西区,普通住宅,品牌地产,55000,123.5
二居/ 三居 ,80~125平米,津南区,普通住宅,低密居所,18000,102.5
三居 ,99~129平米,,普通住宅,品牌地产,19000,114
二居/ 三居/ 四居 ,90~171平米,津南区,普通住宅,小户型,11000,130.5
二居/ 三居 ,78~126平米,武清区,普通住宅,品牌地产,12800,102
二居/ 三居/ 四居 ,88~143平米,南开区,普通住宅,品牌地产,42000,115.5
二居/ 三居 ,76~127平米,西青区,普通住宅,地铁沿线,21500,101.5
二居/ 三居/ 四居 ,84~142平米,,普通住宅,品牌地产,20000,113
二居/ 三居 ,85~139平米,西青区,普通住宅,,15600,112
二居/ 三居/ 四居 ,103~164平米,西青区,联排,低密居所,18000,133.5
二居/ 三居 ,78~130平米,津南区,普通住宅,品牌地产,18000,104
三居/ 四居 ,186~300平米,西青区,普通住宅,品牌地产,45000,243
二居/ 三居 ,78~95平米,北辰区,普通住宅,低总价,11000,86.5
二居/ 三居/ 四居 ,119~208平米,河东区,普通住宅,地铁沿线,38000,163.5
一居/ 二居 ,68~87平米,西青区,普通住宅,低总价,7000,77.5
三居 ,92~139平米,河东区,普通住宅,品牌地产,30000,115.5
二居/ 三居 ,85~125平米,,普通住宅,品牌地产,18000,105
二居/ 三居 ,89~120平米,北辰区,普通住宅,品牌地产,11000,104.5
三居 ,95~120平米,东丽区,普通住宅,品牌地产,18000,107.5
三居/ 四居 ,98~240平米,,普通住宅,品牌地产,15500,169
二居/ 三居 ,85~105平米,东丽区,普通住宅,地铁沿线,13000,95
三居 ,93~108平米,津南区,普通住宅,品牌地产,13600,100.5
二居/ 三居 ,81~105平米,武清区,普通住宅,品牌地产,12000,93
二居 ,87~97平米,,普通住宅,品牌地产,12000,92
三居 ,90~120平米,河东区,普通住宅,地铁沿线,35000,105
三居/ 四居 ,121~202平米,宝坻区,普通住宅,低密居所,14500,161.5
三居 ,89~140平米,河西区,普通住宅,地铁沿线,39000,114.5
二居/ 三居 ,80~120平米,河东区,普通住宅,地铁沿线,36000,100
二居/ 三居 ,79~120平米,东丽区,普通住宅,品牌地产,20000,99.5
三居/ 四居 ,118~188平米,,普通住宅,品牌地产,30000,153
二居/ 三居 ,79~135平米,津南区,洋房,地铁沿线,14000,107
一居/ 二居/ 三居 ,66~117平米,,普通住宅,品牌地产,13500,91.5
二居/ 三居 ,75~108平米,,普通住宅,低总价,9500,91.5
三居 ,108~176平米,宝坻区,普通住宅,品牌地产,11500,142
二居/ 三居 ,82~116平米,北辰区,普通住宅,品牌地产,20000,99
一居/ 二居 ,85~135平米,河西区,品牌地产,不限购,28000,110
二居/ 三居 ,86~128平米,武清区,普通住宅,现房,9500,107
二居/ 三居/ 四居 ,92~224平米,河北区,普通住宅,品牌地产,43000,158
三居/ 四居 ,146~185平米,,普通住宅,品牌地产,25000,165.5
三居 ,115~143平米,西青区,普通住宅,低密居所,25000,129
三居 ,105~143平米,河北区,普通住宅,低密居所,11000,124
二居/ 三居/ 四居 ,96~148平米,,普通住宅,低密居所,11000,122
二居/ 三居 ,76~95平米,西青区,普通住宅,刚需必看,20500,85.5
二居/ 三居 ,85~142平米,,普通住宅,品牌地产,20000,113.5
一居/ 二居 ,38~69平米,宝坻区,普通住宅,低密居所,8300,53.5
三居/ 四居 ,95~168平米,宝坻区,普通住宅,花园洋房,10900,131.5
三居/ 四居 ,88~127平米,津南区,普通住宅,地铁沿线,19000,107.5
二居/ 三居 ,89~129平米,武清区,普通住宅,景观居所,16500,109
二居/ 三居/ 四居 ,82~124平米,静海区,洋房,低密居所,12600,103
二居/ 三居/ 四居/ 五居 ,88~673平米,,独栋,现房,7500,380.5
二居/ 三居/ 四居 ,81~143平米,,普通住宅,品牌地产,12500,112
二居/ 三居/ 四居 ,75~140平米,西青区,普通住宅,地铁沿线,19500,107.5
三居 ,99~137平米,南开区,普通住宅,品牌地产,37000,118
三居 ,88~108平米,河西区,普通住宅,配套商品房,35000,98
二居/ 三居 ,79~110平米,,普通住宅,装修交付,12000,94.5
二居/ 三居 ,82~122平米,东丽区,普通住宅,低密居所,147,102
三居/ 四居 ,87~140平米,北辰区,普通住宅,品牌地产,18000,113.5
一居/ 二居 ,63~88平米,津南区,普通住宅,低密居所,13500,75.5
四居 ,210平米,,普通住宅,品牌地产,25000,210
二居/ 三居/ 四居 ,85~180平米,津南区,联排,低密居所,13000,132.5
三居/ 四居 ,87~123平米,,普通住宅,低密居所,20000,105
二居/ 三居/ 四居 ,87~160平米,河北区,普通住宅,低密居所,16000,123.5
二居/ 三居/ 四居 ,82~137平米,武清区,联排,品牌地产,14000,109.5
二居/ 三居 ,85~136平米,,普通住宅,低密居所,13000,110.5
三居 ,93~110平米,武清区,洋房,花园洋房,11500,101.5
二居/ 三居 ,78~100平米,,普通住宅,低密居所,8888,89
三居 ,101~140平米,,普通住宅,不限购,16500,120.5
三居/ 四居 ,89~154平米,西青区,普通住宅,现房,19000,121.5
三居 ,104~138平米,,普通住宅,低密居所,14000,121
三居 ,90~128平米,东丽区,普通住宅,品牌地产,25000,109
三居/ 四居 ,89~137平米,,普通住宅,品牌地产,13000,113
二居/ 三居 ,89~110平米,,普通住宅,低密居所,10600,99.5
三居 ,89~128平米,东丽区,普通住宅,低密居所,25500,108.5
二居/ 三居/ 四居 ,73~144平米,武清区,联排,小户型,10500,108.5
二居/ 三居/ 四居 ,79~124平米,北辰区,普通住宅,品牌地产,18000,101.5
二居/ 三居 ,76~143平米,津南区,叠拼,品牌地产,21000,109.5
一居/ 二居 ,58~114平米,河西区,普通住宅,品牌地产,32000,86
二居 ,98~102平米,蓟州区,普通住宅,国际化社区,8000,100
三居 ,86~125平米,东丽区,普通住宅,品牌地产,9800,105.5
二居/ 三居/ 四居 ,87~180平米,,普通住宅,低密居所,27500,133.5
一居/ 二居/ 三居/ 四居 ,50~160平米,武清区,联排,品牌地产,8800,105
二居/ 三居/ 四居 ,118~178平米,武清区,普通住宅,低密居所,22000,148
二居 ,143平米,河西区,普通住宅,品牌地产,50000,143
二居/ 四居 ,80~130平米,河北区,普通住宅,品牌地产,32000,105
一居/ 二居/ 三居/ 四居 ,44~360平米,津南区,普通住宅,品牌地产,9600,202
三居 ,97~135平米,,普通住宅,低密居所,15000,116
二居/ 三居 ,77~139平米,津南区,普通住宅,品牌地产,21000,108
二居/ 三居/ 四居 ,88~120平米,东丽区,普通住宅,低密居所,9900,104
二居/ 三居 ,90~142平米,,普通住宅,景观居所,14800,116
三居 ,85~108平米,东丽区,普通住宅,地铁沿线,21000,96.5
二居/ 三居/ 四居 ,83~121平米,北辰区,普通住宅,景观居所,10000,102
二居/ 三居/ 四居 ,89~150平米,静海区,联排,湖景地产,7000,119.5
三居/ 四居 ,161~275平米,河北区,普通住宅,品牌地产,18000,218
二居/ 三居 ,88~120平米,东丽区,普通住宅,现房,11500,104
三居/ 四居 ,93~143平米,静海区,普通住宅,品牌地产,14500,118
二居/ 三居/ 四居/ 五居 ,90~150平米,西青区,联排,地铁沿线,13500,120
二居/ 三居 ,77~127平米,,普通住宅,品牌地产,8500,102
三居/ 四居/ 五居 ,209~838平米,,普通住宅,国际化社区,35000,523.5
三居 ,89~160平米,蓟州区,普通住宅,品牌地产,11500,124.5
二居/ 三居 ,88~130平米,河北区,普通住宅,现房,26000,109
二居/ 三居 ,82~102平米,北辰区,普通住宅,地铁沿线,10500,92
二居/ 三居/ 四居 ,85~145平米,津南区,普通住宅,现房,17000,115
二居/ 三居 ,133~158平米,津南区,联排,品牌地产,28000,145.5
二居/ 三居 ,83~121平米,,普通住宅,低密居所,19000,102
三居 ,109~119平米,,普通住宅,低密居所,16000,114
二居/ 三居/ 四居 ,130~165平米,武清区,普通住宅,品牌地产,8500,147.5
三居/ 四居 ,99~167平米,东丽区,普通住宅,花园洋房,13000,133
二居/ 三居/ 四居 ,106~269平米,河西区,洋房,低密居所,37000,187.5
二居/ 三居/ 四居 ,86~138平米,,普通住宅,品牌地产,23500,112
二居/ 三居/ 四居 ,86~195平米,静海区,普通住宅,低密居所,16000,140.5
二居/ 三居 ,85~130平米,,普通住宅,低密居所,6500,107.5
三居/ 四居 ,100~172平米,宝坻区,普通住宅,品牌地产,10500,136
二居/ 三居 ,79~118平米,北辰区,普通住宅,低密居所,20000,98.5
二居/ 三居 ,79~100平米,北辰区,普通住宅,地铁沿线,10000,89.5
三居 ,89~108平米,蓟州区,普通住宅,品牌地产,9000,98.5
三居/ 四居 ,90~125平米,武清区,普通住宅,品牌地产,10000,107.5
二居/ 三居 ,275~320平米,,双拼,现房,17500,297.5
三居 ,92~124平米,西青区,普通住宅,,22000,108
二居/ 三居 ,135~169平米,,联排,品牌地产,18500,152
三居/ 四居 ,89~143平米,东丽区,普通住宅,品牌地产,24000,116
二居/ 三居 ,0~120平米,,洋房,国际化社区,16200,60
一居/ 二居/ 三居 ,61~120平米,河北区,购物中心,低总价,30000,90.5
三居/ 四居 ,98~152平米,西青区,联排,品牌地产,200,125
三居/ 四居 ,90~139平米,静海区,普通住宅,低密居所,15000,114.5
二居/ 三居/ 四居 ,90~140平米,武清区,普通住宅,品牌地产,14000,115
二居/ 三居/ 四居 ,84~163平米,宁河区,普通住宅,品牌地产,11000,123.5
二居/ 三居 ,85~125平米,宁河区,普通住宅,品牌地产,5500,105
二居/ 三居 ,83~115平米,东丽区,普通住宅,低密居所,24500,99
二居/ 三居 ,82~121平米,武清区,普通住宅,经济住宅,11000,101.5
三居/ 四居 ,98~130平米,,普通住宅,品牌地产,16500,114
二居/ 三居 ,82~108平米,西青区,普通住宅,地铁沿线,131,95
一居/ 二居/ 三居/ 四居 ,80~143平米,武清区,普通住宅,现房,12800,111.5
三居 ,90~140平米,蓟州区,普通住宅,品牌地产,12000,115
二居/ 三居/ 四居 ,83~141平米,宝坻区,普通住宅,品牌地产,8500,112
三居/ 四居 ,118~177平米,蓟州区,联排,低密居所,15000,147.5
二居/ 三居 ,120~172平米,,普通住宅,品牌地产,12500,146
二居/ 三居 ,80~117平米,宝坻区,普通住宅,品牌地产,11000,98.5
二居 ,97平米,河西区,普通住宅,现房,33000,97
三居/ 四居 ,102~165平米,津南区,联排,品牌地产,11000,133.5
二居/ 三居 ,86~126平米,宁河区,普通住宅,品牌地产,8200,106
二居/ 三居 ,44~70平米,河北区,品牌地产,低总价,30000,57
二居/ 三居/ 四居 ,85~138平米,津南区,普通住宅,品牌地产,8500,111.5
三居 ,89~125平米,,普通住宅,品牌地产,13000,107
一居/ 二居 ,66~82平米,河西区,酒店式公寓,地铁沿线,27500,74
三居 ,89~117平米,津南区,普通住宅,低密居所,9200,103
一居/ 二居/ 三居 ,89~140平米,,普通住宅,复合地产,17700,114.5
三居/ 四居 ,96~142平米,,普通住宅,中式地产,19000,119
二居/ 三居 ,85~125平米,宝坻区,普通住宅,品牌地产,9500,105
二居/ 三居 ,83~93平米,,普通住宅,经济住宅,8000,88
二居/ 三居/ 四居/ 五居 ,86~218平米,武清区,联排,低密居所,11500,152
三居 ,99~143平米,宝坻区,洋房,品牌地产,12000,121
二居/ 三居/ 四居/ 五居/ 五居以上 ,83~315平米,,独栋,品牌地产,9000,199
五居 ,214平米,东丽区,联排,品牌地产,12500,214
三居 ,96~125平米,宝坻区,普通住宅,品牌地产,11500,110.5
三居 ,108~143平米,武清区,普通住宅,低密居所,19000,125.5
四居 ,145~155平米,东丽区,普通住宅,现房,21000,150
二居/ 三居/ 四居 ,115~143平米,西青区,普通住宅,低密居所,10216,129
二居/ 三居 ,85~118平米,津南区,普通住宅,宜居生态地产,14000,101.5
三居 ,127~150平米,静海区,普通住宅,经济住宅,16500,138.5
二居/ 三居/ 四居 ,90~160平米,静海区,联排,低密居所,6600,125
三居/ 四居 ,100~143平米,西青区,普通住宅,低密居所,11500,121.5
三居/ 四居/ 五居/ 五居以上 ,130~190平米,河北区,联排,宜居生态地产,168,160
一居/ 二居 ,29~58平米,河北区,洋房,低总价,52000,43.5
二居/ 三居/ 四居 ,80~125平米,东丽区,普通住宅,品牌地产,15000,102.5
二居/ 三居 ,77~116平米,北辰区,普通住宅,品牌地产,8100,96.5
二居/ 三居 ,78~89平米,北辰区,普通住宅,经济住宅,11000,83.5
二居/ 三居/ 四居 ,220~235平米,武清区,联排,品牌地产,16000,227.5
二居/ 三居/ 四居 ,70~118平米,,普通住宅,品牌地产,9500,94
二居/ 三居 ,89~130平米,宝坻区,普通住宅,低密居所,11000,109.5
二居/ 三居 ,83~132平米,东丽区,英式,水景地产,13500,107.5
三居/ 四居 ,115~141平米,宁河区,洋房,花园洋房,12000,128
三居/ 四居/ 五居 ,118~208平米,津南区,普通住宅,品牌地产,10500,163
二居 ,78~97平米,东丽区,普通住宅,刚需必看,7000,87.5
二居/ 三居 ,132~135平米,北辰区,普通住宅,品牌地产,95,133.5
二居/ 三居 ,83~113平米,东丽区,普通住宅,现房,8300,98
三居/ 四居 ,95~186平米,蓟州区,普通住宅,品牌地产,14500,140.5
二居/ 三居 ,91~128平米,静海区,普通住宅,花园洋房,13000,109.5
二居/ 三居 ,78~113平米,宝坻区,普通住宅,品牌地产,10500,95.5
二居/ 三居 ,89~118平米,,普通住宅,宜居生态地产,10900,103.5
二居/ 三居/ 四居 ,85~108平米,宝坻区,普通住宅,品牌地产,12000,96.5
二居/ 三居 ,87~129平米,宁河区,普通住宅,低密居所,9900,108
三居/ 四居 ,88~117平米,,普通住宅,低总价,14300,102.5
三居/ 四居 ,135~221平米,,普通住宅,现房,25000,178
三居/ 四居 ,90~143平米,宝坻区,普通住宅,低密居所,13500,116.5
三居 ,92~115平米,蓟州区,普通住宅,品牌地产,11000,103.5
二居/ 三居/ 四居 ,91~145平米,武清区,普通住宅,品牌地产,13600,118
二居/ 三居 ,89~130平米,静海区,普通住宅,,13500,109.5
一居/ 二居/ 三居 ,70~130平米,东丽区,普通住宅,花园洋房,21000,100
二居/ 三居 ,75~115平米,津南区,普通住宅,,16000,95
一居/ 二居 ,55~139平米,南开区,写字楼商铺,,50000,97
二居/ 三居 ,82~96平米,北辰区,普通住宅,品牌地产,12100,89
二居/ 三居 ,88~110平米,宁河区,普通住宅,花园洋房,10000,99
五居/ 五居以上 ,355平米,,普通住宅,海景地产,14000,355
一居/ 二居/ 三居 ,53~104平米,宝坻区,普通住宅,低密居所,7500,78.5
三居/ 四居 ,90~122平米,津南区,普通住宅,经济住宅,9000,106
二居/ 三居 ,78~90平米,静海区,普通住宅,低密居所,6500,84
一居/ 二居/ 三居 ,48~99平米,宝坻区,独栋,品牌地产,7800,73.5
二居/ 三居/ 四居 ,86~144平米,宝坻区,普通住宅,低密居所,8700,115
二居/ 三居 ,80~105平米,宝坻区,普通住宅,低密居所,12500,92.5
三居 ,141平米,宝坻区,联排,经济住宅,28000,141
二居/ 三居 ,71~170平米,东丽区,普通住宅,品牌地产,98,120.5
三居 ,90平米,津南区,联排,品牌地产,8500,90
二居/ 三居 ,75~95平米,北辰区,普通住宅,品牌地产,11000,85
二居/ 三居 ,78~122平米,,普通住宅,低密居所,10500,100
三居 ,87~113平米,蓟州区,普通住宅,低密居所,12000,100
一居/ 二居/ 三居/ 四居 ,64~165平米,武清区,普通住宅,品牌地产,19500,114.5
二居/ 三居 ,85~115平米,宝坻区,普通住宅,品牌地产,13600,100
三居 ,101~126平米,,普通住宅,现房,13200,113.5
二居/ 三居 ,88~118平米,宝坻区,普通住宅,小户型,11400,103
一居/ 二居/ 四居 ,59~222平米,宁河区,普通住宅,文旅地产,6800,140.5
四居 ,304~337平米,宝坻区,普通住宅,特色别墅,550,320.5
二居/ 三居/ 四居 ,85~165平米,蓟州区,普通住宅,低密居所,12320,125
二居/ 三居 ,88~140平米,宝坻区,普通住宅,低密居所,11000,114
二居/ 三居 ,75~97平米,北辰区,普通住宅,品牌地产,65,86
二居/ 三居 ,80~105平米,宝坻区,普通住宅,品牌地产,6800,92.5
一居 ,380~820平米,东丽区,不限购,,15000,600
一居 ,81平米,南开区,地铁沿线,城市中心地产,32000,81
二居/ 三居 ,93~143平米,宝坻区,普通住宅,低密居所,14000,118
二居/ 三居 ,85~100平米,北辰区,普通住宅,低密居所,15500,92.5
一居/ 二居/ 三居 ,58~133平米,北辰区,普通住宅,低总价,10500,95.5
二居/ 三居/ 四居 ,75~115平米,宝坻区,普通住宅,花园洋房,10000,95
一居/ 二居/ 三居 ,45~90平米,宝坻区,普通住宅,经济住宅,6500,67.5
